Year,Movie,Song,GEM!,Singer(s),Music Director(s),Lyrics
1975,Ek Mahal Ho Sapno Ka,Dil mein kisi ke pyaar ka (M),,Kishore,Ravi,Sahir Ludhianvi
1975,Faraar,Main pyaasa tum saawan (duet),,"Kishore, Lata",Kalyanji Anandji,Rajendra Krishan
1975,Faraar,Main pyaasa tum saawan (M),,Kishore,Kalyanji Anandji,Rajendra Krishan
1975,Julie,Bhool gaya sab kuchh,,"Kishore, Lata",Rajesh Roshan,Anand Bakshi
1975,Julie,Dil kya kare jab kisise,,Kishore,Rajesh Roshan,Anand Bakshi
1975,Kaala Sona,Tak jhoom naacho nashe main choor,,"Kishore, Asha",R D Burman,Majrooh Sultanpuri
1975,Khel Khel Mein,Aaye lo pyaar ke din aaye,,"Kishore, Asha",R D Burman,Gulshan Bawra
1975,Khel Khel Mein,Ek main aur ek tu,,"Kishore, Asha",R D Burman,Gulshan Bawra
1975,Khel Khel Mein,Khullam khulla pyaar karenge,,"Kishore, Asha",R D Burman,Gulshan Bawra
1975,Khushboo,O maanjhi re apna kinaara,Picture,Kishore,R D Burman,Gulzar
1975,Mili,Aaye tum yaad mujhe,,Kishore,S D Burman,Yogesh
1975,Mili,Badi sooni sooni hai,,Kishore,S D Burman,Yogesh
1975,Ponga Pandit,Ganga ghaat ka paani piya hai,,Kishore,Laxmikant Pyarelal,Rajendra Krishan
1975,Prem Kahani,Chal dariya mein doob jaayen,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1975,Prem Kahani,Prem kahaani mein ek ladka hota hai,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1975,Sholay,Holi ke din dil khil jaate hain,,"Kishore, Lata",R D Burman,Anand Bakshi
1975,Sholay,Koi haseena jab roothh jaati hai,,Kishore,R D Burman,Anand Bakshi
1975,Sholay,Yeh dosti hum nahin todenge,,"Kishore, Manna Dey",R D Burman,Anand Bakshi
1975,Uljhan,Aaj pyaare pyaare se lagte hain aap,,"Kishore, Sulakshana Pandit",Kalyanji Anandji,M G Hashmat
1975,Uljhan,Apne jeevan ki uljhan (M),,Kishore,Kalyanji Anandji,M G Hashmat
1975,Warrant,Ladi najariya ladi,,"Kishore, Lata",R D Burman,Anand Bakshi
1975,Warrant,Ruk ja na o jaana,,Kishore,R D Burman,Anand Bakshi
1975,Warrant,Suno bhai baaraati,,Kishore,R D Burman,Anand Bakshi
1975,Zakhmee,Jalta hai jiya mera bheegi bheegi,,"Kishore, Asha",Bappi Lahiri,Gauhar Kanpuri
1975,Zameer,Tum bhi chalo hum bhi chalen (duet),,"Kishore, Asha",Sapan Chakravarty,Sahir Ludhianvi
1975,Zameer,Tum bhi chalo hum bhi chalen (solo),,Kishore,Sapan Chakravarty,Sahir Ludhianvi
1975,Zameer,Zindagi hasne gaane ke liye hai,,Kishore,Sapan Chakravarty,Sahir Ludhianvi
1976,Barood,Matlab jo samjhe,,Kishore,S D Burman,Anand Bakshi
1976,Chalte Chalte,Chalte chalte mere yeh geet,,Kishore,Bappi Lahiri,Amit Khanna
1976,Charas,Kal ki haseen mulaqat ke liye,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1976,Fakira,Tota maina ki kahani,,"Kishore, Lata",Ravindra Jain,Ravindra Jain
1976,Jaaneman,Jaaneman kisi ka naam nahin,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1976,Kabhi Kabhie,Pyaar kar liya to kya,,Kishore,Khayyam,Sahir Ludhianvi
1976,Kabhi Kabhie,Tera phoolon jaisa rang,,"Kishore, Lata",Khayyam,Sahir Ludhianvi
1976,Kabhi Kabhie,Tere chehre se nazar nahin,,"Kishore, Lata",Khayyam,Sahir Ludhianvi
1976,Kalicharan,Yeh pal chanchal kho na dena,,"Kishore, Asha",Kalyanji Anandji,Ravindra Jain
1976,Khalifa,Dil machal raha hai,,"Kishore, Asha",R D Burman,Gulshan Bawra
1976,Mehbooba,Mere naina saawan bhaado (M),Picture,Kishore,R D Burman,Anand Bakshi
1976,Mehbooba,Parbat ke peechhe chambela gaaon,,"Kishore, Lata",R D Burman,Anand Bakshi
1976,Nehle Pe Dehla,Logon ki zubaan par apna naam,,"Kishore, Lata, Manna Dey",R D Burman,Anand Bakshi
1976,Nehle Pe Dehla,Saawan ka maheena aa gaya,,"Kishore, Lata",R D Burman,Anand Bakshi
1976,Sabse Bada Rupaiya,Dariya kinaare ek banglo,,"Kishore, Lata",Basu Manohari,Majrooh Sultanpuri
1976,Tapasya,Do panchhi do tinke,,"Kishore, Aarti Mukherjee",Ravindra Jain,M G Hashmat
1976,Tapasya,Jo raah chuni toone,,Kishore,Ravindra Jain,M G Hashmat
