Year,Movie,Song,GEM!,Singer(s),Music Director(s),Lyrics
1981,Dard,Pyaar ka dard hai,,"Kishore, Asha",Khayyam,Naqsh Lyalpuri
1981,Harjaee,Jeevan mein jab aise pal aayenge,,"Kishore, Asha",R D Burman,Gulshan Bawra
1981,Harjaee,Tujhsa haseen dekha na kaheen,,Kishore,R D Burman,Vithalbhai Patel
1981,Harjaee,Yeh rut hai haseen,,Kishore,R D Burman,Gulshan Bawra
1981,Kaalia,Jahaan teri yeh nazar hai,,Kishore,R D Burman,Majrooh Sultanpuri
1981,Kudrat,Chhodo sanam kaahe ka gham,,"Kishore, Annette",R D Burman,Majrooh Sultanpuri
1981,Kudrat,Hame tumse pyaar kitna (M),,Kishore,R D Burman,Majrooh Sultanpuri
1981,Laawaris,Apni to jaise taise,,Kishore,Kalyanji Anandji,Prakash Mehra
1981,Laawaris,Kaahe paise pe itna guroor kare hai,,Kishore,Kalyanji Anandji,Anjaan
1981,Laawaris,Kab ke bichhde huwe hum,,"Kishore, Asha",Kalyanji Anandji,Prakash Mehra
1981,Rocky,Hum tumse mile phir juda ho gaye,,"Kishore, Lata",R D Burman,Anand Bakshi
1981,Rocky,Kya yehi pyaar hai,Picture,"Kishore, Lata",R D Burman,Anand Bakshi
1981,Silsila,Dekha ek khwab to yeh silsile huwe,Picture,"Kishore, Lata",Shiv Hari,Javed Akhtar
1981,Silsila,Pehli pehli baar dekha aisa jalwa,,"Kishore, Lata",Shiv Hari,Rajendra Krishan
1981,Silsila,Sar se sarke sarke chunariya,,"Lata, Kishore",Shiv Hari,Hasan Kamaal
1981,Yaarana,Chhoo kar mere man ko,,Kishore,Rajesh Roshan,Anjaan
1982,Bemisal,Kitni khoobsoorat yeh tasveer hai,,"Kishore, Lata, Suresh Wadkar",R D Burman,Anand Bakshi
1982,Deedar-E-Yaar,Sarakti jaaye hai rukh se naqaab,,"Kishore, Lata",Laxmikant Pyarelal,Amir Meenai
1982,Kaamchor,Tujh sang preet lagaayi sajna,,"Kishore, Lata",Rajesh Roshan,Indeevar
1982,Kaamchor,Tum se badhkar duniya mein,,"Kishore, Alka Yagnik",Rajesh Roshan,Indeevar
1982,Khud-Daar,Oonche neeche raaste,,"Kishore, Lata",Rajesh Roshan,Majrooh Sultanpuri
1982,Namak Halal,Aaj rapat jaayen to hame na uthhaiyo,,"Kishore, Asha",Bappi Lahiri,Anjaan
1982,Namak Halal,Ke pag ghunghroo,,Kishore,Bappi Lahiri,Prakash Mehra
1982,Sanam Teri Kasam,Kitne bhi tu kar le sitam (M),,Kishore,R D Burman,Gulshan Bawra
1982,Satte Pe Satta,Dilbar mere kab tak mujhe,,"Kishore, Asha",R D Burman,Gulshan Bawra
1982,Satte Pe Satta,Dukki pe dukki ho ya satte pe satta,,"Kishore, Asha, Bhupinder, R D Burman, Shailendra Singh",R D Burman,Gulshan Bawra
1982,Satte Pe Satta,Pyaar hame kis mod pe le aaya,,"Kishore, Bhupinder, Sapan Chakravarty",R D Burman,Gulshan Bawra
1982,Satte Pe Satta,Zindagi milke bitaayenge,,"Kishore, Bhupinder, R D Burman, Sapan Chakravarty",R D Burman,Gulshan Bawra
1982,Shakti,Jaane kaise kab kahaan ikraar ho gaya,,"Kishore, Lata",R D Burman,Anand Bakshi
1982,Yeh Vaada Raha,Aisa kabhi hua nahin,,Kishore,R D Burman,Gulshan Bawra
1982,Yeh Vaada Raha,Tu tu hai wohi (Yeh vaada raha),Picture,"Kishore, Asha",R D Burman,Gulshan Bawra
1983,Agar Tum Na Hote,Hame aur jeene ki (M),,Kishore,R D Burman,Gulshan Bawra
1983,Agar Tum Na Hote,Hame aur jeene ki chaahat na hoti (duet),,"Kishore, Lata",R D Burman,Gulshan Bawra
1983,Avtaar,Din maheene saal guzarte jaayenge,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1983,Bade Dil Wala,Jeevan ke din chhote sahi,,Kishore,R D Burman,Majrooh Sultanpuri
1983,Himmatwala,Nainon mein sapna,,"Kishore, Lata",Bappi Lahiri,Indeevar
1983,Kalaakaar,Neele neele ambar par (M),,Kishore,Kalyanji Anandji,Indeevar
1983,Mahaan,Jidhar dekhonn teri tasveer,,Kishore,R D Burman,Anjaan
1983,Mahaan,Pyaar mein dil pe maar de goli,,"Kishore, Asha",R D Burman,Anjaan
1983,Nishaan,Lehron ki tarah yaadein,,Kishore,Rajesh Roshan,Gulshan Bawra
1983,Pukar,Bachke rehna re baaba,,"Kishore, Asha, R D Burman",R D Burman,Gulshan Bawra
1983,Souten,Shaayad meri shaadi ka khayaal,,"Kishore, Lata",Usha Khanna,Saawan Kumar
1984,Jag Utha Insan,Teri zindagi ki raagini par,,"Kishore, Asha",Rajesh Roshan,Indeevar
1984,Mashaal,Zindagi aa raha hoon,,Kishore,Hridaynath Mangeshkar,Javed Akhtar
1984,Sharabi,De de pyaar de,,Kishore,Bappi Lahiri,Anjaan/Prakash Mehra
1984,Sharabi,Inteha ho gayi intezaar ki,,"Kishore, Asha",Bappi Lahiri,Anjaan/Prakash Mehra
1984,Sharabi,Jahaan chaar yaar mil jayen,,"Kishore, Amitabh",Bappi Lahiri,Anjaan/Prakash Mehra
1984,Sharabi,Manzilen apni jagah hain,,Kishore,Bappi Lahiri,Anjaan/Prakash Mehra
1984,Sharabi,Mujhe naulakha manga de + Log kehte hain,,"Kishore, Asha",Bappi Lahiri,Anjaan/Prakash Mehra
1985,Bond 303,Ab jo hoga so hone do,,"Kishore, Asha",R D Burman,Gulshan Bawra
1985,Hoshiyar,Tere jaisi koi shrimati chaahiye,,"Kishore, Asha",Bappi Lahiri,Indeevar
1985,Lava,Hum tum dono mil ke dil ke,,"Kishore, Lata",R D Burman,Anand Bakshi
1985,Rahi Badal Gaye,Ek baat dil mein aayi hai,,"Kishore, Lata",R D Burman,Gulshan Bawra
1985,Saagar,Chehra hai ya chaand khila hai,Picture,Kishore,R D Burman,Javed Akhtar
1985,Saagar,Saagar kinaare dil yeh pukaare,,"Kishore, Lata",R D Burman,Javed Akhtar
1985,Sitamgar,Mausam pyaar ka rang badalta rahe,,"Kishore, Asha",R D Burman,Majrooh Sultanpuri
1986,Janbaaz,Tera saath hai kitna,,"Kishore, Sapna Mukherjee",Kalyanji Anandji,Indeevar
1987,Mr. India,Kaate nahin kat-te yeh din yeh raat,,"Kishore, Alisha Chinai",Laxmikant Pyarelal,Javed Akhtar
1987,Mr. India,Karte hain hum pyaar Mister India se,,"Kishore, Kavita Krishnamurty",Laxmikant Pyarelal,Javed Akhtar
1987,Mr. India,Zindagi ki yahi reet hai,,Kishore,Laxmikant Pyarelal,Javed Akhtar
